date,home_team,score,away_team
16-03-2025,,2 - 0,Fulham
08-03-2025,,2 - 1,Brighton
25-02-2025,,1 - 2,Wolves
22-02-2025,,0 - 2,Fulham
15-02-2025,,2 - 1,Fulham
01-02-2025,,1 - 2,Newcastle
26-01-2025,,0 - 1,Fulham
18-01-2025,,0 - 2,Leicester
14-01-2025,,3 - 2,West Ham
05-01-2025,,2 - 2,Fulham
29-12-2024,,2 - 2,Fulham
26-12-2024,,1 - 2,Chelsea
22-12-2024,,0 - 0,Fulham
14-12-2024,,2 - 2,Liverpool
08-12-2024,,1 - 1,Fulham
05-12-2024,,3 - 1,Fulham
01-12-2024,,1 - 1,Tottenham
23-11-2024,,1 - 4,Fulham
09-11-2024,,0 - 2,Crystal Palace
04-11-2024,,2 - 1,Fulham
26-10-2024,,1 - 1,Everton
19-10-2024,,1 - 3,Fulham
05-10-2024,,3 - 2,Man City
28-09-2024,,0 - 1,Nott'm Forest
21-09-2024,,3 - 1,Fulham
14-09-2024,,1 - 1,Fulham
31-08-2024,,1 - 1,Ipswich
24-08-2024,,2 - 1,Fulham
16-08-2024,,1 - 0,Man United
25-05-2025,,1 - 3,Ipswich
18-05-2025,,2 - 0,Leicester
10-05-2025,,0 - 1,Ipswich
03-05-2025,,2 - 2,Everton
26-04-2025,,3 - 0,Newcastle
20-04-2025,,0 - 4,Ipswich
13-04-2025,,2 - 2,Chelsea
05-04-2025,,1 - 2,Ipswich
02-04-2025,,1 - 2,Bournemouth
15-03-2025,,2 - 4,Ipswich
08-03-2025,,1 - 0,Crystal Palace
26-02-2025,,3 - 2,Man United
22-02-2025,,1 - 4,Ipswich
15-02-2025,,1 - 1,Aston Villa
01-02-2025,,1 - 2,Ipswich
25-01-2025,,4 - 1,Liverpool
19-01-2025,,0 - 6,Ipswich
16-01-2025,,0 - 2,Ipswich
05-01-2025,,2 - 2,Fulham
30-12-2024,,2 - 0,Ipswich
27-12-2024,,1 - 0,Arsenal
21-12-2024,,0 - 4,Ipswich
14-12-2024,,1 - 2,Wolves
08-12-2024,,1 - 2,Ipswich
03-12-2024,,0 - 1,Ipswich
30-11-2024,,1 - 0,Nott'm Forest
24-11-2024,,1 - 1,Ipswich
10-11-2024,,1 - 2,Tottenham
02-11-2024,,1 - 1,Ipswich
26-10-2024,,4 - 3,Brentford
19-10-2024,,0 - 2,Ipswich
05-10-2024,,4 - 1,West Ham
